"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01"
"North Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",11,,2899.5,2850,3000,3000,3000,3000,3050,2962.5,3000,2825,2650,2500,2775,2850,2995,2975,2995,3042.5,3085,3300,2889,2800,2750,2680,2650,2700,2700,2695,2725,2500,2600,2772.5,2875,2650,2525,2500,2700,2600,2800,2800,2899,2899,2825,2750,3000,2950,2850,2800,3225,3100,3450,3400,3400,3499,3000,2800,2797.5,3175,3325,3250,3400,3500,3475,2995,3000,3000,3100,2900,3000,3000,2975,3274.5
"Enterprise","Las Vegas","NV","Las Vegas","Clark",12,1500,1500,1500,1450,1549.5,1425,1395,1395,1450,1375,1350,1385,1395,1377.5,1395,1495,1400,1400,1395,1450,1395,1400,1400,1397.5,1350,1395,1395,1395,1450,1400,1395,1425,1450,1400,1395,1350,1350,1350,1395,1395,1450,1495,1485,1495,1512.5,1495,1495,1425,1450,1450,1450,1495,1450,1495,1512.5,1517.5,1500,1550,1595,1595,1597.5,1600,1650,1650,1525,1600,1495,1495,1462.5,1450,1585,1450,1595
"Northwest","El Paso","TX","El Paso","El Paso",13,,,,,1800,1750,1600,1600,1700,1700,1587.5,1800,1800,1700,1800,1800,1700,1550,1662.5,1800,1850,1825,1790,1700,1700,1700,1595,1700,1750,1695,1550,1600,1622.5,1645,1600,1600,1600,1575,1550,1600,1785,1750,1795,1662.5,1600,1600,1600,1700,1725,1750,1737.5,1750,1650,1650,1600,1750,1600,1695,1600,1625,1600,1600,1600,1625,1750,1700,1697,1700,1550,1600,1550,1600,1592.5
"East Village","New York","NY","New York","New York",14,,,,,,4600,4887.5,4995,4800,4797.5,4800,4797.5,5000,5200,5000,4847.5,5000,5150,5200,5400,5372.5,5250,5200,5100,5195,5195,5100,5195,5200,5100,5250,5225,5200,5100,5195,5100,5200,5240,5300,5395,5500,5650,5900,5739,5739,5739,5739,5739,5739,5600,5600,5800,5600,5600,5747.5,6000,6000,6000,5680,5450,5500,5495,5497.5,5625,5800,5797.5,5800,6000,5624.5,5600,5350,5500,5800
"Ridgewood","New York","NY","New York","Queens",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3200,3200,3300,3385,3400,3395,3300,3300,3499,3400,3495,3399,3500,3550,3550,3550,3595,3500,3400,3400,3500,3600,3600,3600,3200
"Summerlin North","Las Vegas","NV","Las Vegas","Clark",16,,,,,1672.5,1850,1900,1850,1700,1850,1700,1900,1750,1650,1750,1662.5,1650,1700,1695,1775,1650,1600,1695,1600,1600,1600,1700,1750,1795,1800,1795,1795,1700,1750,1753,1700,1750,1650,1695,1699,1800,1775,1775,1775,1785,1795,1795,1850,1850,1800,1800,1800,1795,1800,1850,1795,1795,1785,1750,1795,1795,1795,1800,1800,1890,1972.5,1895,1900,1895,1850,1750,1772.5,1750
"Jamaica Plain","Boston","MA","Boston","Suffolk",17,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3200,3000,3100,3100,3100,3200,3200,3000,3000,3200,3200,3175,3100,3100,3200,3200,3100,3000,2900,3000,3000,3200,3325,3300,3350,3350,3400,3200,3200,3100,3000,2900,3000,3300,3500,3500,3400,3400,3400,3400,3400,3400,3300,3050,3200,3300,3400
"Brighton","Boston","MA","Boston","Suffolk",18,2600,2600,2600,2600,2550,2500,2500,2500,2600,2600,2700,2700,2700,2650,2650,2750,2800,2750,2700,2655,2800,2800,2800,2800,2800,2900,2900,2900,3000,3000,3000,3000,3000,2950,2950,2950,2999,3000,3000,3100,3100,3100,3100,3100,3200,3199,3200,3200,3200,3199,3200,3200,3200,3100,3162.5,3100,3095,3023.5,3099.5,3199,3200,3200,3200,3300,3300,3325,3300,3240,3245,3200,3200,3200,3300
"North Dorchester","Boston","MA","Boston","Suffolk",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2850,2900,2900,2900,3000,2800,2800,2800,2600,2500,2700,2920
"Allston","Boston","MA","Boston","Suffolk",20,,,2850,2800,2800,2700,2700,2700,2750,2600,2550,2900,3000,3000,3000,2950,2950,2800,2800,2800,2800,2800,2800,3000,3000,3100,3100,3050,3050,3050,3000,3000,3000,2997.5,3000,3000,3200,3200,3200,3225,3200,3200,3200,3200,3200,3100,3100,3200,3300,3400,3300,3300,3300,3200,3200,3200,3100,3100,3200,3400,3500,3500,3500,3500,3500,3400,3400,3232.5,3300,3200,3100,3550,3600
"North Central","Philadelphia","PA","Philadelphia","Philadelphia",21,,,,,,,,,,,,,2400,2300,2300,2230,2200,2100,2000,2000,2000,2147.5,2200,2400,2260,2300,2380,2360,2200,2100,2000,2000,1900,2200,2400,2100,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2200,2200,2200,2200,2200,2200,2200,2175,2000,2000,2200,2200,2250,2200,2200,2200,2200,2200,2200,2200,2100,2000,2100,2200,2400,2400,2250
"Mission Hill","Boston","MA","Boston","Suffolk",22,,,,,,,,,,,,3600,3400,3400,3300,3250,3250,3300,3300,3300,3400,3400,3400,3462.5,3600,3600,3600,3600,3600,3600,3637.5,3600,3600,3600,3750,3800,3800,3800,3800,3800,3800,3800,3800,3700,3600,3750,3800,4000,4000,4000,3900,3900,3900,3900,3850,3700,3600,3600,3800,4000,4100,4100,4000,4000,3997,3900,3800,3800,3625,3537.5,3712.5,4000,4100
"Alafaya","Orlando","FL","Orlando","Orange",23,,,,,1595,1566,1595,1578,1495,1400,1425,1495,1500,1500,1500,1550,1512.5,1500,1500,1500,1500,1550,1550,1500,1500,1550,1550,1575,1595,1562.5,1595,1625,1595,1595,1595,1595,1595,1595,1572.5,1595,1600,1650,1595,1600,1600,1600,1575,1585,1585,1600,1600,1650,1700,1650,1700,1695,1625,1612.5,1625,1698,1685,1675,1650,1650,1675,1675,1700,1737.5,1675,1600,1700,1675,1739.5
